State Name,Full-Time Equivalent (FTE) Teachers [State] 2017-18,Full-Time Equivalent (FTE) Teachers [State] 2016-17,Full-Time Equivalent (FTE) Teachers [State] 2015-16,Full-Time Equivalent (FTE) Teachers [State] 2014-15,Full-Time Equivalent (FTE) Teachers [State] 2013-14,Full-Time Equivalent (FTE) Teachers [State] 2012-13,Full-Time Equivalent (FTE) Teachers [State] 2011-12,Full-Time Equivalent (FTE) Teachers [State] 2010-11,Full-Time Equivalent (FTE) Teachers [State] 2009-10,Full-Time Equivalent (FTE) Teachers [State] 2008-09,Full-Time Equivalent (FTE) Teachers [State] 2007-08,Full-Time Equivalent (FTE) Teachers [State] 2006-07,Full-Time Equivalent (FTE) Teachers [State] 2005-06,Full-Time Equivalent (FTE) Teachers [State] 2004-05,Full-Time Equivalent (FTE) Teachers [State] 2003-04,Full-Time Equivalent (FTE) Teachers [State] 2002-03,Full-Time Equivalent (FTE) Teachers [State] 2001-02,Full-Time Equivalent (FTE) Teachers [State] 2000-01
ALABAMA,41802.18,42532.95,40766.22,42736.79,47161.77,51877.22,47722.67,49363.24,47492,47818,50420,56134,57757,51594,58070,47115,46785,48194
ALASKA,7742.85,7824.91,7832.15,7759.08,7898.26,7682.18,8087.87,8170.64,8083.1,7927,7613,7903,7912,7756,7808,8080,8026,7880
ARIZONA,47867.58,48220.08,47943.56,48124.48,48358.73,48866.42,50800.15,50030.62,51947.23,54696,54032,52625,51376,48935,47507,47101,46015,44438
ARKANSAS,35799.86,35730.3,35803.87,35430.04,34933.04,34131.42,33982.96,34272.8,37240,37162,33882,35089,32997,31234,30876,30330,33079,31947
CALIFORNIA,271523.05,271287.08,263474.9,267685.03,259505.79,266254.85,268688.93,260806.3,316298.58,303647,305371,307366,309222,305969,304311,307764,304203,298021
COLORADO,52373.47,52014.13,51798.13,51388.05,50157.36,48921.79,48077.76,48542.99,49060.32,48692,47761,46973,45841,45165,44904,45401,44182,41983
CONNECTICUT,45081.41,42343.2,43772.31,42061.94,43443.09,43931.33,43804.81,42951.39,43592.83,48463,39304,39115,39687,38808,42370,42296,41773,41044
DELAWARE,9398.68,9208.2,8961.71,9648.75,9388.06,9257,8587.21,8933,8639.58,8322,8198,8038,7998,7856,7749,7698,7571,7469
DISTRICT OF COLUMBIA,6659.32,6726.99,6789.09,6565.3,5991.43,5925.1,6278.06,5925.33,5854,5321,6347,5383,5481,5387,5676,5005,4951,4949
FLORIDA,186128.02,186339.1,182586.3,180442.27,177853.2,176537.21,175006.3,175609.29,183827,186361,190615,162851,158962,154864,144955,138226,134684,132030
GEORGIA,116021.7,114762.5,113031,111469.8,109441,109364.9,111133.3,112459.6,115917.9,118839,116857,113597,108535,104987,97150,96044,92732,91043
HAWAII,12033.47,11781.66,11746.9,11662.71,11780.65,11608.2,11458.37,11395.95,11471.65,11295,11397,11271,11226,11146,11129,10973,11007,10927
IDAHO,16591.97,16203.9,15656.42,15609.12,15001.72,14563.19,15990.44,15672.54,15200.87,15148,15013,14770,14521,14269,14049,13896,13854,13714
ILLINOIS,128203.64,128893.43,129948.2,132455.94,136355.18,135700.7,131777.31,132982.73,138482.93,135704,136445,140988,133857,131047,127669,131046,129600,127620
INDIANA,61018.37,60161.63,57674.85,56547.39,59823.14,59863.28,62338.58,58121,62258,62668,62334,61346,60592,60563,59924,59968,59658,59226
IOWA,35552.6,35808.04,35687.49,35684.09,35396.65,35080.24,34658.15,34642.08,35842.15,35961,36089,35653,35181,34697,34791,34573,34906,34636
KANSAS,36387.27,36193.25,40035.33,37659.08,38152.9,41243.2,37407.3,34643.8,34700.1,35883,35359,35297,33608,32932,32589,32643,33084,32742
KENTUCKY,42064.18,42028.74,41902.11,41585.62,41820.21,42769.46,41859.68,42041.84,41980.96,43451,43536,43371,42413,41463,41246,40662,40375,39589
LOUISIANA,40280.89,48408.12,58469.25,46339.54,46436.91,46493.41,48657.02,48655.03,49646.1,49377,48610,45951,44660,49192,50495,50062,49980,49915
MAINE,14760.1,14750.1,14857,14936.73,15451.67,15222.08,14888.04,15384.3,16331.4,15912,16558,16826,16684,16656,17621,16837,16741,16559
MARYLAND,60174.75,59703.26,59414.16,59194.27,58611.02,57718.49,57589.05,58428.47,58462.9,58940,59320,58443,56685,55101,55198,55382,53774,52433
MASSACHUSETTS,73381.11,72413.04,71969.18,71859.02,70489.56,70636.26,69342.38,68754.39,69909.18,70398,70719,73157,73596,73399,72062,74214,68942,67432
MICHIGAN,84472.51,83597.16,84181.03,85038.32,85786.16,86153.59,86997.36,88614.71,92691.22,94754,96204,98037,98069,100638,97014,89595,98849,97031
MINNESOTA,57259.83,56714.54,55985.23,55689.64,54412.59,53584.59,52832.26,52671.71,52839.12,53083,52975,51880,51107,52152,51611,52808,53081,53457
MISSISSIPPI,31624.51,31924.48,32175.03,32311.15,32292.27,32613.46,32006.66,32254.83,33103.49,33358,33560,32351,31433,31321,32591,31598,31213,31006
MISSOURI,68496.29,67926.23,67635.28,67355.55,66651.04,66248.19,66251.53,66734.84,67795.77,68015,68430,67521,67076,65847,65169,66717,65240,64735
MONTANA,10515.4,10555.18,10412.36,10234.46,10310.32,10199.89,10152.67,10360.99,10521.25,10467,10519,10398,10369,10224,10301,10362,10408,10411
NEBRASKA,23771.26,23610.86,23308.3,22987.69,22401.06,22102.87,22181.95,22345.16,22256.24,22057,21930,21459,21359,21236,20921,21043,21083,20983
NEVADA,23708.98,23704.67,22702.01,21655.67,21920.59,20694.95,21131.5,21839.48,22103.52,21993,23423,22908,21744,20950,20234,20038,19276,18293
NEW HAMPSHIRE,14588.8,14759.6,14769.7,14772.8,14826.1,14924.7,15049.2,15365.2,15490.6,15661,15484,15515,15536,15298,15112,14977,14677,14341
NEW JERSEY,115496.09,115728.83,114968.5,115066.79,114581.2,110928.64,109719.1,110202.4,115248,114713,111500,112301,112673,114875,109077,107004,103611,99061
NEW MEXICO,21091.98,21331.02,21721.65,22410.92,22238.71,22200.73,21956.68,22437.43,22723.73,22825,22300,22016,22021,21730,21569,21172,21823,21042
NEW YORK,213158.85,209151.31,206086.1,203780.87,206692.51,207060.33,209526.78,211605.54,214803.59,217944,211854,218879,218989,218612,216116,210926,209128,206961
NORTH CAROLINA,100400.79,100219.61,99354.57,99320.47,99326.62,98590.41,97308.09,98357.47,105036.39,109634,106562,112304,95664,92550,89988,87677,85684,83680
NORTH DAKOTA,9283.52,9265.3,9194.74,9049,8805.41,8677.44,8525.02,8416.95,8365.6,8181,8068,8007,8003,8070,8037,8078,8035,8141
OHIO,98912.16,102600.18,101741.9,106526,106010.29,105999.8,107971.68,109281.94,111377.53,112845,109766,110459,117982,118060,121735,125372,122115,118361
OKLAHOMA,41596.76,41089.67,42452.42,42073.15,41982.6,41774.7,41349.4,41277.8,42614.6,46571,46709,42206,41833,40416,39253,40638,41632,41318
OREGON,29909.17,29755.96,29086.1,27850.15,26733.39,26410.15,26790.98,28109.27,28768.01,30152,30013,29940,28346,27431,26732,27126,28262,28094
PENNSYLVANIA,121917.67,122551.85,120892.6,122029.58,121329.77,123146.79,124645.61,129911.39,130983.79,129708,135234,123114,122397,121167,119889,118256,118470,116963
RHODE ISLAND,10686.99,10688.74,10631.38,9471.1,9824.05,9871.31,11414,11211.8,11366.23,11316,11271,11381,14180,11781,11918,11196,11103,10645
