State Name,Instruction Expenditures - Salaries (E11) [State Finance] 2015-16,Instruction Expenditures - Salaries (E11) [State Finance] 2014-15,Instruction Expenditures - Salaries (E11) [State Finance] 2013-14,Instruction Expenditures - Salaries (E11) [State Finance] 2012-13,Instruction Expenditures - Salaries (E11) [State Finance] 2011-12,Instruction Expenditures - Salaries (E11) [State Finance] 2010-11,Instruction Expenditures - Salaries (E11) [State Finance] 2009-10,Instruction Expenditures - Salaries (E11) [State Finance] 2008-09,Instruction Expenditures - Salaries (E11) [State Finance] 2007-08,Instruction Expenditures - Salaries (E11) [State Finance] 2006-07,Instruction Expenditures - Salaries (E11) [State Finance] 2005-06,Instruction Expenditures - Salaries (E11) [State Finance] 2004-05,Instruction Expenditures - Salaries (E11) [State Finance] 2003-04,Instruction Expenditures - Salaries (E11) [State Finance] 2002-03,Instruction Expenditures - Salaries (E11) [State Finance] 2001-02,Instruction Expenditures - Salaries (E11) [State Finance] 2000-01
ALABAMA,2477403659,2486747005,2495972800,2454717450,2442365193,2500992746,2527833534,2538696534,2553753211,2377493739,2175489042,2021674162,1987103507,1979766663,1906960975,1920297333
ALASKA,711181788,693933408,688001845,682495826,673081514,666918708,641431359,605309764,578916138,561122474,551604528,531231377,516985454,518112131,503771388,467642341
ARIZONA,3126186606,3040265275,3039539648,3070786593,3027600745,3256512906,3359861432,3531455165,3392319069,3512387495,3434476964,3179672460,2873805850,2506568765,2310944195,1979157905
ARKANSAS,1846356785,1829292498,1818164198,1803661213,1791543470,1798852379,1757604021,1716716223,1689264640,1654161613,1591695691,1521529680,1346754539,1282074851,1248407310,1149953038
CALIFORNIA,27148051584,25433551906,23880538763,22901586775,22845108454,22874871130,23503106187,24365951573,24408875167,23220351373,21714002608,20911505004,20763761809,20548956218,20161156453,19033888233
COLORADO,3348613206,3222468457,3155519916,3034027461,2987371902,3018418325,3059053410,2970930299,2815247254,2683761748,2547089097,2456368550,2379849107,2364954227,2212799549,2011049644
CONNECTICUT,3909375279,3833099173,3768383556,3671907651,3597321000,3601405478,3544680769,3444803590,3343802807,3221094679,3107054505,2986242698,2880450595,2783320438,2688388935,2547048019
DELAWARE,732115795,705382723,686840087,661953983,675131067,643670733,607857133,595656994,578066875,554261330,539576609,512940929,489724493,473465461,461207650,429191531
DISTRICT OF COLUMBIA,687092381,623929466,593208476,562913811,565155854,451340550,458470012,395532249,420355775,370902174,347191986,360376201,355723571,279891494,278597466,284502562
FLORIDA,9227637998,9093724054,8956541006,8687300405,8614099045,8826444840,8699434850,8945024413,9189112269,8698563955,8030592580,7337810292,6819679139,6451459669,6185609782,5932501015
GEORGIA,6932397673,6689670637,6483312636,6489862795,6626114113,6661759527,6863150270,7143975974,6890147212,6514218729,6115822367,5664480313,5470730440,5343777718,4996620216,4529768180
HAWAII,948100256,894304839,880213904,822898824,814925708,829259660,812429181,868443739,825054797,747615098,691901586,665680591,640157223,628258824,606088768,530553995
IDAHO,850063068,820404756,801329979,811854638,776700557,801451130,829549327,826522070,795234967,761039893,728449510,699197265,673691004,657589721,647036317,615108620
ILLINOIS,10057461274,9965875863,9801210097,9727147011,9543025872,9447166391,9541183966,9200780130,8780141260,8482248700,8140977371,7885665952,7716979194,7507170911,7179383717,6801454007
INDIANA,3622089111,3574919833,3580342295,3591801523,3642956169,3668623721,3808314327,3710505547,3681735767,3617653302,3526275076,3455469262,3336402239,3261483442,3185211252,3122306439
IOWA,2414680595,2357488749,2266127625,2206409794,2136792980,2111774256,2111224411,2085292332,1952930339,1831829559,1731958131,1663162216,1619776811,1582284831,1567104706,1485094764
KANSAS,2153182081,2175820723,2156471165,2087914845,2082097744,2075509896,2109133842,2131867271,2039934061,1942380351,1790934320,1655301711,1606920368,1571520772,1542165203,1495454992
KENTUCKY,2653543566,2597950312,2568493065,2583237624,2597859229,2580066539,2557261905,2497940905,2477698439,2294710371,2205061272,2092737488,2046043805,2010082917,1944855057,1864736197
