State Name,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2015-16,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2014-15,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2013-14,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2012-13,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2011-12,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2010-11,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2009-10,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2008-09,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2007-08,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2006-07,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2005-06,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2004-05,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2003-04,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2002-03,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2001-02,Local Rev. - Tuition From Individuals (R1E) [State Finance] 2000-01
ALABAMA,6609874,6512724,6131559,5347436,4553075,4198317,4089031,4025811,4472406,4085621,3563199,3434702,3434296,3369687,3008679,3507201
ALASKA,278527,164290,142222,135617,120483,131258,128736,161223,228576,336566,0,0,0,0,0,15298
ARIZONA,6642156,6082210,5748335,5498960,4791135,3951044,623204,644637,689620,834239,580878,881862,489758,2535108,1924130,2039398
ARKANSAS,10552323,9756369,10086128,9854316,9200207,8629306,8232474,8260554,8008882,7764888,4678927,4159783,4060950,3468409,3319381,2915468
CALIFORNIA,2237156,2270201,1117595,741017,657381,431760,347461,214551,306800,208845,199551,30862,139497,304322,289557,380731
COLORADO,89424704,89119453,84675732,75670440,72768641,66470976,61940236,68195551,56059445,51947185,47598986,43662482,33959317,29809161,26297916,22585865
CONNECTICUT,4666169,4737027,4462890,4322463,3985444,3288337,4408494,4159198,4330121,3591511,3053979,2786423,2313042,1677538,1975623,2012763
DELAWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT OF COLUMBIA,14704,0,507426,615884,773735,797904,819877,804530,506804,527228,557725,503156,671070,412401,301026,276574
FLORIDA,1569213,1404666,1405197,1288710,968064,580847,631567,367936,313785,328942,338296,159809,164528,170467,313384,372768
