Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,252,13,up,92,57
New Hampshire,251,12,up,92,56
Minnesota,249,10,up,89,54
Vermont,248,9,up,89,51
New Jersey,247,7,up,88,49
Kansas,245,6,up,89,46
North Dakota,245,6,up,91,45
Connecticut,245,6,up,86,46
Maine,244,5,up,87,45
Montana,244,5,up,88,45
Maryland,244,5,up,85,44
North Carolina,244,5,up,87,43
Ohio,244,5,up,85,45
Pennsylvania,244,4,up,84,46
Wisconsin,244,4,up,85,45
Colorado,243,4,up,84,45
Virginia,243,4,up,85,43
Indiana,243,4,up,87,42
Iowa,243,4,up,87,41
Washington,242,3,up,84,43
South Dakota,242,3,up,86,42
Wyoming,242,3,up,87,40
Florida,242,3,up,86,40
Idaho,241,2,up,85,41
Missouri,241,2,same,83,41
New York,241,2,up,83,40
Texas,240,1,same,85,38
Utah,240,1,same,81,41
DoDEA,240,1,up,86,38
Delaware,239,#,same,84,36
National public,239,†,,81,38
Kentucky,239,#,same,81,37
Rhode Island,239,#,same,81,39
Nebraska,239,#,same,82,38
Illinois,238,-1,same,80,38
Oregon,238,-1,same,80,37
Arkansas,238,-2,same,80,36
Alaska,237,-2,same,78,38
Oklahoma,237,-2,down,82,33
Michigan,236,-3,down,78,35
Georgia,236,-3,down,78,34
Hawaii,236,-3,down,77,37
South Carolina,236,-3,down,78,34
Nevada,235,-4,down,79,32
West Virginia,233,-6,down,77,28
Tennessee,232,-7,down,74,28
California,232,-7,down,72,30
New Mexico,230,-9,down,72,26
Arizona,230,-9,down,71,28
Louisiana,229,-10,down,72,23
Alabama,228,-11,down,70,24
Mississippi,227,-12,down,69,22
District of Columbia,219,-20,down,56,17
Puerto Rico,—,†,,—,—
