State Name,Pupil/Teacher Ratio [State] 2017-18,Pupil/Teacher Ratio [State] 2016-17,Pupil/Teacher Ratio [State] 2015-16,Pupil/Teacher Ratio [State] 2014-15,Pupil/Teacher Ratio [State] 2013-14,Pupil/Teacher Ratio [State] 2012-13,Pupil/Teacher Ratio [State] 2011-12,Pupil/Teacher Ratio [State] 2010-11,Pupil/Teacher Ratio [State] 2009-10,Pupil/Teacher Ratio [State] 2008-09,Pupil/Teacher Ratio [State] 2007-08,Pupil/Teacher Ratio [State] 2006-07,Pupil/Teacher Ratio [State] 2005-06,Pupil/Teacher Ratio [State] 2004-05,Pupil/Teacher Ratio [State] 2003-04,Pupil/Teacher Ratio [State] 2002-03,Pupil/Teacher Ratio [State] 2001-02,Pupil/Teacher Ratio [State] 2000-01
ALABAMA,17.76,17.51,18.25,17.41,15.82,14.35,15.6,15.31,15.77,15.6,14.7,13.2,12.8,14.2,12.6,15.7,15.8,15.4
ALASKA,17.16,16.96,16.91,16.91,16.58,17.12,16.22,16.17,16.29,16.5,17.2,16.8,16.8,17.1,17.2,16.6,16.7,16.9
ARIZONA,23.21,23.29,23.13,23.1,22.8,22.29,21.27,21.42,20.75,19.9,20.1,20.3,21.3,21.3,21.3,19.9,20,19.8
ARKANSAS,13.86,13.81,13.75,13.86,14.03,14.24,14.22,14.07,12.9,12.9,14.1,13.6,14.4,14.8,14.7,14.9,13.6,14.1
CALIFORNIA,23.22,23.26,23.63,23.58,24.33,23.66,23.4,24.12,19.8,20.8,20.8,20.8,20.8,21.1,21.1,20.6,20.5,20.6
COLORADO,17.38,17.4,17.36,17.3,17.48,17.65,17.77,17.37,16.97,16.8,16.8,16.9,17,17,16.9,16.6,16.8,17.3
CONNECTICUT,11.79,12.64,12.29,12.9,12.57,12.54,12.66,13.05,12.94,11.7,14.5,14.7,14.5,14.9,13.6,13.5,13.7,13.7
DELAWARE,14.5,14.8,15.05,13.89,14.03,13.94,15.02,14.49,14.68,15.1,15,15.2,15.1,15.2,15.2,15.1,15.3,15.4
DISTRICT OF COLUMBIA,13.11,12.76,12.38,12.33,13.04,12.85,11.77,12.03,11.86,12.9,12.4,13.5,14,14.2,13.8,15.2,13.8,13.9
FLORIDA,15.22,15.12,15.29,15.28,15.3,15.25,15.25,15.05,14.33,14.1,14,16.4,16.8,17,17.9,18.4,18.6,18.4
