State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01
ALABAMA,9258,9146,9036,8773,8577,8726,8907,8964,9197,8398,7683,7073,6581,6300,6029,5885
ALASKA,17510,20191,18466,18217,17475,16663,15829,15363,14641,12324,11476,10847,10116,9870,9563,9216
ARIZONA,7772,7590,7457,7495,7382,7782,7968,8022,7727,7316,6515,6307,5999,6283,5851,5521
ARKANSAS,9900,9805,9752,9538,9536,9496,9281,8854,8677,8391,8030,7659,6842,6482,6276,5568
CALIFORNIA,11420,10449,9671,9258,9329,9146,9300,9503,9706,8952,8301,7905,7673,7552,7405,6987
COLORADO,9619,9292,9036,8693,8594,8786,8926,8782,9152,8286,8166,7826,7478,7384,6941,6567
CONNECTICUT,19615,19020,18401,17321,16855,16224,15698,15353,14610,13659,13072,12263,11436,11057,10577,10127
DELAWARE,14397,13882,13793,13653,13580,12467,12222,12109,12153,11760,11621,10911,10212,9693,9284,8958
DISTRICT OF COLUMBIA,21135,20610,20577,20530,19847,20793,20910,19698,16353,15511,13752,13915,12959,11847,12102,12046
FLORIDA,9176,9113,8955,8623,8520,9030,8863,8867,9084,8567,7812,7215,6793,6439,6213,6170
GEORGIA,9835,9476,9236,9121,9272,9259,9432,9649,9718,9102,8595,8065,7742,7774,7380,6929
HAWAII,13748,12855,12400,11743,11973,11924,11714,12400,11800,11316,9876,8997,8533,8100,7306,6596
IDAHO,7178,6899,6577,6761,6626,6821,7100,7118,6951,6648,6469,6319,6168,6081,6011,5725
ILLINOIS,14327,13935,13213,12443,12011,11742,11739,11097,10353,9596,9113,8896,8606,8287,7956,7631
INDIANA,9691,9529,9396,9421,9588,9251,9479,9254,8867,9080,8929,8919,8431,8057,7734,7630
IOWA,11148,10938,10647,10291,10027,9795,9748,9704,9520,8791,8355,7962,7626,7574,7338,6930
KANSAS,10216,10329,10240,10011,10021,9802,9972,10204,9894,9243,8640,7926,7776,7454,7339,6937
