State Name,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2015-16,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2014-15,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2013-14,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2012-13,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2011-12,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2010-11,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2009-10,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2008-09,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2007-08,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2006-07,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2005-06,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2004-05,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2003-04,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2002-03,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2001-02,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2000-01
ALABAMA,10200,9992,9913,9653,9534,9776,9667,9708,10356,9548,8555,8028,7349,6971,6956,6503
ALASKA,18851,22379,20447,20312,19034,18699,17759,17319,17471,14304,12849,12632,11576,10928,10717,10275
ARIZONA,9293,8995,8703,8616,8613,9111,9343,9002,9457,9023,8071,7814,7550,7791,7214,7071
ARKANSAS,10939,10762,10478,10391,10939,10939,10738,10072,9758,9362,9031,8712,7542,7243,7112,6250
CALIFORNIA,13606,11786,10985,10481,10590,10790,10239,11180,11228,10857,9909,9234,8980,8975,8363,8306
COLORADO,11386,10984,10538,10312,10183,10460,10635,10207,10118,9720,9322,9024,8639,8379,7855,7384
CONNECTICUT,21745,20964,20172,19149,18532,17822,17546,17404,16585,15737,15149,13882,12815,12433,11847,11492
DELAWARE,16247,15502,14960,14799,14514,13513,14070,13993,13792,13345,12679,11560,11022,10293,9841,9701
DISTRICT OF COLUMBIA,27067,27810,27758,27508,28055,27016,24785,24039,17394,17602,15624,16757,15690,14626,14418,15128
FLORIDA,10002,9717,9518,9103,8991,9972,9891,10005,10995,10571,9277,8575,8132,7474,7178,7338
GEORGIA,11164,10761,10377,10270,10457,10762,10695,10881,11319,10874,10083,9480,9082,8990,8820,8437
