State Name,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2015-16,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2014-15,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2013-14,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2012-13,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2011-12,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2010-11,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2009-10,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2008-09,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2007-08,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2006-07,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2005-06,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2004-05,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2003-04,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2002-03,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2001-02,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2000-01
ALABAMA,3793289280,3784527409,3783069829,3713650150,3686076200,3763311211,3807161684,3834159825,3851879956,3574948229,3263386367,3001713783,2921176286,2901805530,2771921421,2775785692
ALASKA,1100326576,1077907620,1069811633,1068299420,1059771056,1049292986,1013549879,944518116,888620239,854585072,838078735,806759302,786323457,777415074,754499319,719070633
ARIZONA,4933383640,4824518085,4772477035,4816007040,4730736915,5224117011,5264027992,5442230354,5243006472,4935124146,4765160919,4455125383,4106468241,3730817999,3462102292,3062760602
ARKANSAS,2876662047,2853582321,2832470275,2795413697,2768954090,2775535110,2698800669,2626020405,2582467080,2502755266,2381750319,2261625259,2001241819,1903404903,1841106127,1678684961
CALIFORNIA,41960463274,38937764699,36284783518,34635475140,34520348369,34581939316,35539415344,37067819198,37237144670,35206302682,32692121455,31321425577,30953167975,30858145712,30129966080,28352536373
COLORADO,5325840250,5092248181,4901078714,4678102423,4593693842,4640523713,4724304910,4574564565,4331425996,4106786007,3884894769,3742186413,3623820241,3580908415,3318009509,3012297540
CONNECTICUT,5596439917,5465984483,5340599603,5211047711,5107123257,5086753084,5012371125,4911751205,4752582868,4561323506,4387146787,4203031638,4052600814,3915256846,3761867490,3564810615
DELAWARE,1022220568,997538224,968231155,943332686,944093212,892042634,856360052,844816425,827042718,797675194,776345977,731311885,694877741,666822379,647769572,603493346
DISTRICT OF COLUMBIA,1057581267,985442410,937555947,875778259,863972070,764446499,824561650,730160912,719989595,656767780,613408857,615718254,594463782,510055063,519370548,504312587
FLORIDA,14288530455,14018105357,13725305115,13321921481,13204693542,13525155636,13440377020,13756355834,14208452882,13466347292,12467279435,11442736345,10657499362,10120394281,9677868876,9334668888
GEORGIA,10222565918,9838873289,9520795966,9525323968,9725172132,9766218367,10063419993,10411627438,10023871793,9440907800,8835696106,8195892534,7866949924,7711004290,7168062081,6515254720
HAWAII,1372611133,1301502835,1265004292,1185714542,1173776191,1188633002,1158639579,1254260507,1199235551,1133339605,1040826646,989479160,950211590,931054011,894174938,772090098
IDAHO,1230284599,1186051564,1165238957,1172521131,1122386752,1155102894,1198148916,1197889548,1152192693,1097681563,1051721412,1008749076,974282694,956028279,942040477,896222984
ILLINOIS,14677318875,14540827623,14295840965,14204461919,13940846044,13839016006,13988106415,13564437020,12919249346,12434463565,11914293089,11519349413,11187782865,10880260798,10424762471,9847882781
INDIANA,5481898508,5398803223,5365527457,5362429112,5421024560,5433379500,5640714941,5516283069,6022412742,5312433023,5160914385,5053258142,4876682202,4748297007,4656177947,4514859140
IOWA,3596756122,3484694411,3337158178,3233688520,3131067643,3088877376,3098146685,3058175124,2887266647,2719781843,2585955759,2469546957,2397575833,2347603436,2327175310,2216897107
KANSAS,3203682667,3223907608,3180859804,3072803658,3047421972,3047837600,3102289590,3155798243,3024712914,2863418029,2659002025,2466409083,2396313800,2346094942,2314461549,2220880226
KENTUCKY,4072493384,3986170907,3935029189,3952683469,3960466537,3905036248,3856370003,3769232578,3734863869,3470155413,3326322682,3152762270,3051638054,2976011211,2871526426,2740240276
LOUISIANA,4280148317,4230688529,4173315901,4124216641,4205492159,4305641236,4358506835,4308506968,4016161977,3519042369,3210469362,3405890193,3322140026,3239431104,3120382379,2926492540
MAINE,1446079922,1407680069,1368108945,1355118145,1339552058,1347463033,1350284328,1330095369,1304497165,1270995234,1234881304,1191504555,1151347861,1114491108,1065170756,1010845571
MARYLAND,7449267987,7333794782,7084236407,6963006528,6884474153,7002367219,7062473190,7001289849,6764906302,6196483101,5688003393,5333661307,5135268168,5015286526,4762373349,4403829920
MASSACHUSETTS,9632756491,9294297218,8987979415,8688550033,8399465105,8060500048,7939484315,7864849868,7636150063,7282552665,6990729367,6912780356,6702216807,6574257235,6477094206,6108612882
MICHIGAN,7768242131,7865552469,7952858910,8091687694,8310171692,8611473221,9207527678,9359621443,9305574685,9355713947,9296812504,9383443369,9406016566,9393648070,9072699702,8699546523
MINNESOTA,6267401808,6064162524,5763563074,5578999167,5407096431,5362027408,5297814111,5246436557,5093586397,4899715859,4709622226,4548090951,4438080669,4355802196,4226524797,4148837823
MISSISSIPPI,2507755835,2442019921,2361370197,2364590541,2353600515,2321067425,2432932375,2398734696,2352975437,2231697820,2163971411,2042767849,1916933711,1785396949,1680899080,1645190603
MISSOURI,5742553711,5644644283,5529630020,5417473545,5316336073,5314513328,5508048551,5462485853,5271187087,4964717564,4739435357,4495270658,4373824342,4395501831,4219362149,3984420015
MONTANA,954250316,927792155,906121300,889052244,874259356,882711090,871009105,836295358,812470323,770883026,734754506,729729803,707984918,688634100,665161423,647949017
NEBRASKA,2283024819,2215395441,2148778952,2097542667,1945298495,1937582521,1885837824,1853418961,1798804669,1711991501,1616435820,1538458626,1525630996,1463852800,1419950541,1293229318
NEVADA,2429211984,2317077573,2228576934,2146904424,2149897543,2234908812,2219810145,2212218250,2130506583,1987162233,1779267030,1643136483,1518207257,1431747082,1403168138,1292122764
NEW HAMPSHIRE,1488479670,1469624807,1445740653,1432425781,1419816325,1426744061,1405221145,1370615755,1319669309,1258440102,1207237588,1157591373,1101246469,1046335720,977248256,911696686
NEW JERSEY,14683215410,14473842907,14290709961,14093052941,13742031817,13537361412,14087073636,13587287540,13120604824,12667383863,12116012352,11570759112,10945392461,10385292751,9900483395,9241068343
NEW MEXICO,1947547725,1932408474,1858177811,1842887913,1835011064,1864727848,1929733038,1919004274,1847002362,1755635126,1635087004,1558098137,1496162222,1424740674,1386931622,1269647073
NEW YORK,32328708547,30585083799,30253882827,29113541565,29002028274,28852945209,29164514685,28619253768,27301724779,25973360081,24592429771,23435926286,22361133328,22130287631,21193109473,20371996216
NORTH CAROLINA,8368203461,8168601012,7768248447,7822161116,7674699687,7864450335,7945637336,8376665728,7849487991,7580762735,6978317020,6646056511,6251090955,6165676516,6016614003,5766722802
NORTH DAKOTA,860709314,809505100,739676828,697079925,657976606,625707397,591802693,560307715,535322918,508944409,526935702,511463202,465029955,437769604,442115131,411265429
OHIO,11344966608,11208712319,10966313228,10996005496,11239990836,11473095313,11460597606,11270516725,11002476254,10715042109,10566905550,10308868553,10133307855,9782415902,9241456155,8698016622
OKLAHOMA,3243790925,3212254006,3156928522,3108407133,3041920125,3003708041,3106843433,3044955910,2997284774,2894306685,2659568590,2517325586,2359969816,2359642779,2432311659,2364089251
OREGON,3281476201,3075538546,2901146054,2814778146,2816138904,2948534245,2960002323,2991608742,2903329231,2729820154,2590766591,2486255812,2374455634,2363621067,2439906896,2362158717
PENNSYLVANIA,13025472980,12871042486,12780318334,12834467498,12891909371,13292856768,12972847670,12471453904,11968192252,11564141279,11283863114,10962298329,10569157093,10113875986,9830646872,9453355803
RHODE ISLAND,1290000330,1257980116,1236093476,1203879578,1239929583,1249957829,1234377497,1225761843,1218752267,1186043268,1144645313,1091462426,1069280385,1030389663,973136034,943877026
SOUTH CAROLINA,4433294221,4312822851,4198214114,4123440388,3933911694,3945350520,4067157082,4159081934,4004588058,3739670937,3555717560,3325066868,3144727539,3099946252,3053398739,2880057614
SOUTH DAKOTA,727028574,702764175,679773550,652454635,642265009,662804533,649666403,631627362,606080710,573669611,556702777,545311933,534385498,521215919,508474592,490456788
TENNESSEE,5269064379,5131486592,5102418656,5089970420,4982160207,4939664878,4838565451,4789392977,4633155582,4360898623,4147350393,4046507455,3849581562,3671413515,3573580240,3391889490
TEXAS,32776040452,31207581923,29768795132,28478478095,27733994457,29107182225,28800332356,27653049540,26405109542,24309410574,22855654021,21723408326,21043812186,20794132878,19301520152,18351561458
UTAH,2549357569,2407217601,2305180016,2248896394,2188427791,2156328034,2143576554,2154399529,2019756148,1792887649,1676076873,1606927526,1542140241,1505030344,1505865043,1400149092
VERMONT,895792567,879980718,865396721,855252171,834066006,826331607,830680709,796877240,763453327,732691325,709522737,676700100,642000615,616715607,589424873,556665001
VIRGINIA,9071671075,8869896713,8747944879,8606233626,8458012769,8342782419,8511199584,8618378876,8310714282,7958012357,7503236411,7067401058,6616088724,6276626272,5976903648,5597149996
WASHINGTON,7366223451,6837890200,6530695595,6228430044,6108576054,6173807457,6095501028,6108808410,5772756551,5449166031,5216036606,5064810464,4945073214,4878320604,4629381480,4325753465
WEST VIRGINIA,1746842226,1759407924,1719525440,1739734946,1752691396,1698426571,1688701655,1674663561,1587002794,1508324288,1459994624,1405982083,1400370555,1400776336,1332848010,1298013563
WISCONSIN,5544474386,5463836268,5350861300,5292020926,5238700452,5419378078,5292187324,5213507968,5025930876,4873294058,4773673846,4680561964,4545658605,4536124388,4421156244,4286612952
WYOMING,908129990,889840870,869590179,855526534,850599163,833122313,817690000,780877087,736037122,689017034,577885172,521936777,499100368,490146863,478096951,439776877
