State Name,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students [State] 2005-06,Total Students [State] 2004-05,Total Students [State] 2003-04,Total Students [State] 2002-03,Total Students [State] 2001-02,Total Students [State] 2000-01
ALABAMA,742444,744930,743789,744164,746204,744637,744621,755552,748889,745668,742919,743632,741761,730140,731220,739366,737190,739992
ALASKA,132872,132737,132477,131176,130944,131489,131167,132104,131661,130662,131029,132608,133288,132970,133933,134364,134358,133356
ARIZONA,1110851,1123137,1109040,1111695,1102445,1089384,1080319,1071751,1077831,1087817,1087447,1068249,1094454,1043298,1012068,937755,922180,877696
ARKANSAS,496085,493447,492132,490917,489979,486157,483114,482114,480559,478965,479016,476409,474206,463115,454523,450985,449805,449959
CALIFORNIA,6304266,6309138,6226737,6312161,6312623,6299451,6287834,6289578,6263438,6322528,6343471,6406750,6437202,6441557,6413867,6353667,6247726,6140814
COLORADO,910280,905019,899112,889006,876999,863561,854265,843316,832368,818443,801867,794026,779826,765976,757693,751862,742145,724508
CONNECTICUT,531288,535118,537933,542678,546200,550954,554437,560546,563968,567198,570626,575100,575059,577390,577203,570023,570228,562179
DELAWARE,136293,136264,134847,134042,131687,129026,128946,129403,126801,125430,122574,122254,120937,119091,117668,116342,115560,114676
DISTRICT OF COLUMBIA,87315,85850,84024,80958,78153,76140,73911,71284,69433,68681,78422,72850,76876,76714,78057,76166,68449,68925
FLORIDA,2832424,2816791,2792234,2756944,2720744,2692162,2668156,2643347,2634522,2631020,2666811,2671513,2675024,2639336,2587628,2539929,2500478,2434821
GEORGIA,1768642,1764346,1757237,1744437,1723909,1703332,1685016,1677067,1667685,1655792,1649589,1629157,1598461,1553437,1522611,1496012,1470634,1444937
HAWAII,180837,181550,181995,182384,186825,184760,182706,179601,180196,179478,179897,180728,182818,183185,183609,183829,184546,184360
IDAHO,301186,297200,292277,290885,296476,284834,279873,275859,276299,275051,272119,267380,261982,256084,252120,248604,246521,245117
ILLINOIS,2005153,2026718,2041779,2050239,2066990,2072880,2083097,2091654,2104175,2119707,2112805,2118276,2111706,2097503,2100961,2084187,2071391,2048792
INDIANA,1054187,1049547,1046757,1046269,1047385,1041369,1040765,1047232,1046661,1046147,1046764,1045940,1035074,1021348,1011130,1003875,996133,989267
IOWA,511850,509831,508014,505311,502964,499825,495870,495775,491842,487559,485115,483122,483482,478319,481226,482210,485932,495080
KANSAS,497088,494347,495884,497275,496440,489043,486108,483701,474489,471060,468295,469506,467525,469136,470490,470957,470205,470610
KENTUCKY,680978,684017,686598,688640,677389,685167,681987,673128,680089,670030,666225,683152,679878,674796,663369,660782,654363,665850
LOUISIANA,715135,716293,718711,716800,711491,710903,703390,696558,690915,684873,681038,675851,654526,724281,727709,730464,731328,743089
MAINE,180473,180512,181613,182470,183995,185739,188969,189077,189225,192935,196245,193986,195498,198820,202084,204337,205586,207037
MARYLAND,893684,886221,879601,874514,866169,859638,854086,852211,848412,843861,845700,851640,860020,865561,869113,866743,860640,852920
MASSACHUSETTS,964791,964514,964026,955844,955739,954773,953369,955563,957053,958910,962958,968661,971909,975574,980459,982989,973140,975150
MICHIGAN,1516398,1528666,1536231,1537922,1548841,1555370,1573537,1587067,1649082,1659921,1692739,1722656,1742282,1751290,1757604,1785160,1730668,1720626
MINNESOTA,884944,875021,864384,857235,850973,845404,839738,838037,837053,836048,837578,840565,839243,838503,842854,846891,851384,854340
MISSISSIPPI,478321,483150,487200,490917,492586,493650,490619,490526,492481,491962,494122,495026,494954,495376,493540,492645,493507,497871
MISSOURI,915472,915040,919234,917785,918288,917900,916584,918710,917982,917871,917188,920353,917705,905449,905941,906499,909792,912744
MONTANA,149474,146375,145319,144532,144129,142908,142349,141693,141807,141899,142823,144418,145416,146705,148356,149995,151947,154875
NEBRASKA,323766,319194,316014,312635,307677,303505,301296,298500,295368,292590,291244,287580,286646,285761,285542,285402,285095,286199
NEVADA,485785,473744,467527,459189,451831,445707,439634,437149,428947,433371,429362,424766,412395,400083,385401,369498,356814,340706
NEW HAMPSHIRE,179433,180888,182425,184670,186310,188974,191900,194711,197140,197934,200772,203572,205767,206852,207417,207671,206847,208461
NEW JERSEY,1408102,1410421,1408845,1400579,1370295,1372203,1356431,1402548,1396029,1381420,1382348,1388850,1395602,1393347,1380753,1367438,1341656,1313405
NEW MEXICO,334345,336263,335694,340365,339244,338220,337225,338122,334419,330245,329040,328220,326758,326102,323066,320234,320260,320306
NEW YORK,2724663,2729776,2711626,2741185,2732770,2710703,2704718,2734955,2766052,2740592,2765435,2809649,2815581,2836337,2864775,2888233,2872132,2882188
NORTH CAROLINA,1553513,1550062,1544934,1548895,1530857,1518465,1507864,1490605,1483397,1488645,1489492,1444481,1416436,1385754,1360209,1335954,1315363,1293638
NORTH DAKOTA,111920,109706,108644,106586,103947,101111,97646,96323,95073,94728,95059,96670,98283,100513,102233,104225,106047,109201
OHIO,1704399,1710143,1716585,1724810,1724111,1729916,1740030,1754191,1764297,1817163,1827184,1836722,1839683,1840032,1845428,1838285,1830985,1835049
OKLAHOMA,695092,693903,692878,688511,681848,673483,666120,659911,654802,645108,642065,639391,634739,629476,626160,624548,622139,623110
OREGON,608014,578947,576407,601318,593000,587564,568208,570720,582839,575393,565586,562574,552194,552505,551273,554071,551480,546231
PENNSYLVANIA,1726809,1727497,1717414,1743160,1755236,1763677,1771395,1793284,1785993,1775029,1801971,1871060,1830684,1828089,1821146,1816747,1821627,1814311
RHODE ISLAND,142949,142150,142014,141959,142008,142481,142854,143793,145118,145342,147629,151612,153422,156498,159375,159205,158046,157347
SOUTH CAROLINA,777507,771250,763533,756523,745657,735998,727186,725838,723143,718113,712317,708021,701544,703736,699198,694389,676198,677411
SOUTH DAKOTA,137823,136302,134253,133040,130890,130471,128016,126128,123713,126429,121606,121158,122012,122798,125537,130048,127542,128603
TENNESSEE,1001967,1001562,1001235,995475,993556,993496,999693,987422,972549,971950,964259,978368,953928,941091,936682,927608,924899,909161
TEXAS,5401341,5360849,5301477,5233765,5153702,5077659,5000470,4935715,4850210,4752148,4674832,4599509,4525394,4405215,4331751,4259823,4163447,4059619
